Client,Best_Model,Best_wMAPE,Cluster,client_mean,client_std
MT_113,SARIMA,0.10051216408630403,1,32.8266832237702,7.469070774876826
MT_027,SARIMA,0.10260595653900678,1,19.600193686630647,7.314347514419265
MT_063,SARIMA,0.10294603314318591,1,22.513911864998438,8.73852949863638
MT_078,SARIMA,0.11085095641321106,1,40.00377255320982,10.799380798119792
MT_023,SARIMA,0.11253850913006412,1,9.708518498631292,3.67730462586397
MT_020,SARIMA,0.114299432307772,1,40.37485116736093,10.825469702849782
MT_016,Prophet,0.12057842593054349,1,32.754237077608934,11.064208457437902
MT_120,Prophet,0.12148737992734225,1,39.92947853065298,11.4863542601812
MT_026,SARIMA,0.12385986371808787,1,20.682438733065357,8.276153777782019
MT_080,SARIMA,0.12516768786429291,1,14.234825047120845,5.90786070400249
MT_039,SARIMA,0.1279964220221219,1,41.135879523861476,16.808691170378456
MT_014,Prophet,0.13068310763194055,1,44.257074784805134,17.85344103205778
MT_048,SARIMA,0.13196874865443683,1,15.325544033698662,4.564995833935505
MT_032,Prophet,0.1320182824867699,1,29.488493111216016,9.959355217864234
MT_044,Prophet,0.13370735733029804,1,30.093725369857083,10.144689527582775
MT_096,Prophet,0.13683254934702357,1,10.880474934807431,6.031863648330427
MT_125,Prophet,0.14402695626196507,1,38.32189814672893,19.522182266013523
MT_057,Prophet,0.14999342422265186,1,24.517313983786664,13.012391914817382
MT_022,SARIMA,0.15186311472171052,1,27.16073413998333,12.04413073279437
MT_079,Prophet,0.15675407468878252,1,32.38514029330868,15.322875038154235
MT_112,LSTM,0.16324737331039693,1,35.362137223073574,13.437027247082238
MT_110,Prophet,0.18041372746225548,1,22.021604621475294,19.56034024783409
MT_077,DeepAR,0.2024105523767489,1,34.998635060739794,14.975127632138049
MT_122,LSTM,0.2411882597056062,1,21.711968177961765,8.97733242616998
MT_001,SARIMA,0.2582774374912456,1,5.481668407126442,6.138152320430282
MT_115,SARIMA,0.2603325993223053,1,23.387674556081652,10.547799382783664
