client_id,Naive_24h_MAE,Naive_168h_MAE,Naive_Blend_MAE,LightGBM_MAE,XGBoost_MAE,LGB_XGB_Blend_MAE,Routed_Best_MAE,Chicken_Dinner_MAE
MT_130,18.315018315018317,8.585164835164846,14.365842490842496,17.268115307429934,15.232699353616335,16.35217831497503,8.585164835164846,11.604613726769562
MT_131,12.152777777777752,3.6892361111110716,9.418402777777743,13.246044097604232,10.264654616514857,11.793552088781231,3.6892361111110716,8.919582893714555
MT_132,7.075985194861752,5.851295449597217,6.626932288264755,11.544527879478137,10.438231764381145,11.046694662453866,5.851295449597217,6.396118951201495
MT_133,0.0841184387617776,1.5141318977119784,0.4934948407357555,2.013850973651797,2.8094711251165805,2.3442219379159446,0.0841184387617776,2.4282217702311164
MT_134,7.921299617407937,2.5608261597321906,5.305221783835484,4.646072822125727,3.206002033965429,3.848946074872719,2.5608261597321906,14.00901842091236
MT_135,4.106311433005691,1.7621572684945803,3.087277978961891,2.871492381878522,2.590902191705798,2.4554085780448176,1.7621572684945803,12.810364573556205
MT_136,27.04973118279567,0.0,18.934811827956974,13.406090165070408,12.84641979244878,13.14976755030986,0.0,13.213139998938486
MT_137,13.538998007401096,1.9925989183034434,9.733489894676927,6.104624968550101,7.664324742384238,6.735835569980672,7.664324742384238,15.928587533957938
MT_138,28.114810634562264,26.468836217707537,20.891334336593957,21.753167167895498,16.256073488159434,18.992993160275763,16.256073488159434,15.797903078452777
MT_139,25.44255527567871,52.89672544080602,30.542436328015686,38.182857682302334,29.773554436005412,33.90653361713243,29.773554436005412,31.692726819433062
MT_140,106.0157790927022,118.03500986193296,109.4736193293886,113.67422347864044,113.68256891972923,113.6779796026497,113.68256891972923,100.72216652811032
MT_141,0.17111567419575024,0.13903148528404707,0.16149041752223914,1.4070992655103713,1.1358682138311194,0.9753967644728888,0.17111567419575024,1.7429652804345614
MT_142,1.3197586726998578,1.8460910005027698,1.3126885369532515,3.0459370787874156,2.784634436417484,2.8956599520094817,1.3197586726998578,1.2830890416223861
MT_143,7.3212013813158885,0.0,5.124840966921121,4.140434702520721,4.028236718491523,3.8320477256724153,4.028236718491523,3.8870260775596104
MT_144,2.6437874596587534,4.372694790225949,2.596242508068164,3.0486980820736647,2.8931287982706606,2.6558307945848596,2.596242508068164,3.9088118829417895
MT_145,0.7875566056310307,1.4397519196692123,0.6940342587123437,4.59727011841725,1.7683286347664293,3.184681671168112,0.6940342587123437,1.6083286107014534
MT_146,0.9527089072543523,5.188246097337008,2.0948117539026563,1.0746856377061675,1.9600241348434757,1.2630417251699164,0.9527089072543523,4.4465162340143864
MT_147,4.5731707317071555,14.227642276422975,6.4227642276423085,138.72794898035986,130.096018721418,134.84360325201956,6.4227642276423085,43.519409335352215
MT_148,8.746169560776272,14.18858529111337,8.491338951310823,26.737207580927407,13.462840064999824,20.72221458118563,20.72221458118563,10.614728599829569
MT_149,1.2969904389395992,0.8352346805736635,1.0416666666666747,1.9821928592742823,1.7854864267824162,1.8527372453989577,1.0416666666666747,1.5863219010415908
MT_150,0.8478682170542652,0.9689922480620274,0.8587056303549648,2.331410423082719,2.028776903631048,2.14263089613314,0.8478682170542652,0.9510334384178178
MT_151,4.7598749644785245,0.0,3.3319124751349656,3.0046333592012786,3.0340017707350184,2.4372272518163975,0.0,10.097104986513289
MT_152,22.05354579385585,19.40676141257515,17.851887740453098,39.32258844180934,26.47750769063921,28.40365739624998,19.40676141257515,37.00616918939582
MT_153,18.078873732074197,10.351084295208105,11.609172787687974,10.993007160910883,12.17832682924115,11.441823989048322,10.351084295208105,12.002316697795221
MT_154,1.5289510735656353,2.2439281942977694,1.598248856036595,1.7169873408146143,2.5780223251773737,1.8598002322908413,1.5289510735656353,3.2185987964418223
MT_155,18.5185185185185,21.903935185185215,13.66608796296292,16.968698600180343,16.218731473993348,16.361391944121923,16.218731473993348,15.489064650413972
MT_156,24.988368163859416,35.43486171761283,27.21192685589519,26.85388754597946,26.838426563293083,26.83282800011693,26.83282800011693,31.67015047044926
MT_157,698.3069164265125,782.2706532180595,721.7128962536017,574.8209552443602,629.2496621665987,599.3138581005786,782.2706532180595,652.7155734836809
MT_158,32.64831216577536,9.717440953654213,21.251643270944758,11.629546102278974,11.583588076572779,11.549481614469931,9.717440953654213,11.32328582301887
MT_159,29.324712643678165,36.75317289272031,30.231172174329497,29.98868334866621,30.728957773320662,30.264332971286525,30.728957773320662,35.0369178190793
MT_160,0.2629002043596727,0.8175806085376925,0.37243840826521285,1.197012046034007,1.644819703755001,1.3953919872307274,0.37243840826521285,1.847799384841957
MT_161,137.60288065843613,176.0866769547324,136.9052211934152,105.33718475624939,111.26996194972958,104.25041977452408,111.26996194972958,147.89067013791305
MT_162,119.20068928950157,154.18434075645106,124.88622304701308,118.46924284801396,134.0301407355224,125.4716433052195,154.18434075645106,136.98967982945507
